Text: e gam, Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: , Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: LI., Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: e town-ho’s story, Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: , Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: LII., Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: Of the monstrous pictures of whales, Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: , Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: LIII., Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: Of the less erroneous pictures of whales, and the pictures of, Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: whaling scenes, Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: , Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: LIV., Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: Of whales in paint; in teeth; in wood; in sheet; in stone; in, Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: mountains; in stars, Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: , Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: LV., Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: Brit, Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: , Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: LVI., Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: Squid, Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: , Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: LVII., Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: e line, Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: , Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: LVIII., Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: Stubb kills a whale, Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: , Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: LIX., Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: e dart, Font: AGaramondPro-Bold, Size: 10.909000396728516
